"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2025","24,781.05","24,669.70","25,221.60","24,472.60","3.92B","0.12%"
"05/01/2025","24,750.70","24,311.90","25,116.25","23,935.75","8.55B","1.71%"
"04/01/2025","24,334.20","23,341.10","24,457.65","21,743.65","7.66B","3.46%"
"03/01/2025","23,519.35","22,194.55","23,869.60","21,964.60","6.24B","6.30%"
"02/01/2025","22,124.70","23,528.60","23,807.30","22,104.85","5.65B","-5.89%"
"01/01/2025","23,508.40","23,637.65","24,226.70","22,786.90","6.46B","-0.58%"
"12/01/2024","23,644.80","24,140.85","24,857.75","23,460.45","5.45B","-2.02%"
"11/01/2024","24,131.10","24,302.75","24,537.60","23,263.15","5.89B","-0.31%"
"10/01/2024","24,205.35","25,788.45","25,907.60","24,073.90","6.33B","-6.22%"
"09/01/2024","25,810.85","25,333.60","26,277.35","24,753.15","6.16B","2.28%"
"08/01/2024","25,235.90","25,030.95","25,268.35","23,893.70","6.33B","1.14%"
"07/01/2024","24,951.15","23,992.95","24,999.75","23,992.70","7.09B","3.92%"
"06/01/2024","24,010.60","23,337.90","24,174.00","21,281.45","7.75B","6.57%"
"05/01/2024","22,530.70","22,567.85","23,110.80","21,821.05","6.71B","-0.33%"
"04/01/2024","22,604.85","22,455.00","22,783.35","21,777.65","6.28B","1.24%"
"03/01/2024","22,326.90","22,048.30","22,526.60","21,710.20","6.74B","1.57%"
"02/01/2024","21,982.80","21,780.65","22,297.50","21,530.20","6.73B","1.18%"
"01/01/2024","21,725.70","21,727.75","22,124.15","21,137.20","6.82B","-0.03%"
"12/01/2023","21,731.40","20,194.10","21,801.45","20,183.70","6.12B","7.94%"
"11/01/2023","20,133.15","19,064.05","20,158.70","18,973.70","4.42B","5.52%"
"10/01/2023","19,079.60","19,622.40","19,849.75","18,837.85","4.25B","-2.84%"
"09/01/2023","19,638.30","19,258.15","20,222.45","19,255.70","5.67B","2.00%"
"08/01/2023","19,253.80","19,784.00","19,795.60","19,223.65","6.25B","-2.53%"
"07/01/2023","19,753.80","19,246.50","19,991.85","19,234.40","5.80B","2.94%"
"06/01/2023","19,189.05","18,579.40","19,201.70","18,464.55","5.14B","3.53%"
"05/01/2023","18,534.40","18,124.80","18,662.45","18,042.40","5.74B","2.60%"
"04/01/2023","18,065.00","17,427.95","18,089.15","17,312.75","4.46B","4.06%"
"03/01/2023","17,359.75","17,360.10","17,799.95","16,828.35","5.62B","0.32%"
"02/01/2023","17,303.95","17,811.60","18,134.75","17,255.20","5.69B","-2.03%"
"01/01/2023","17,662.15","18,131.70","18,251.95","17,405.55","5.63B","-2.45%"
"12/01/2022","18,105.30","18,871.95","18,887.60","17,774.25","4.74B","-3.48%"
"11/01/2022","18,758.35","18,130.70","18,816.05","17,959.20","5.26B","4.14%"
"10/01/2022","18,012.20","17,102.10","18,022.80","16,855.55","4.54B","5.37%"
"09/01/2022","17,094.35","17,485.70","18,096.15","16,747.70","6.90B","-3.74%"
"08/01/2022","17,759.30","17,243.20","17,992.20","17,154.80","5.59B","3.50%"
"07/01/2022","17,158.25","15,703.70","17,172.80","15,511.05","5.48B","8.73%"
"06/01/2022","15,780.25","16,594.40","16,793.85","15,183.40","5.51B","-4.85%"
"05/01/2022","16,584.55","16,924.45","17,132.85","15,735.75","6.34B","-3.03%"
"04/01/2022","17,102.55","17,436.90","18,114.65","16,824.70","5.66B","-2.07%"
"03/01/2022","17,464.75","16,593.10","17,559.80","15,671.45","7.96B","3.99%"
"02/01/2022","16,793.90","17,529.45","17,794.60","16,203.25","5.62B","-3.15%"
"01/01/2022","17,339.85","17,387.15","18,350.95","16,836.80","5.44B","-0.08%"
"12/01/2021","17,354.05","17,104.40","17,639.50","16,410.20","5.50B","2.18%"
"11/01/2021","16,983.20","17,783.15","18,210.15","16,782.40","5.85B","-3.90%"
"10/01/2021","17,671.65","17,531.90","18,604.45","17,452.90","7.65B","0.30%"
"09/01/2021","17,618.15","17,185.60","17,947.65","17,055.05","6.96B","2.84%"
"08/01/2021","17,132.20","15,874.90","17,153.50","15,834.65","6.35B","8.69%"
"07/01/2021","15,763.05","15,755.05","15,962.25","15,513.45","6.00B","0.26%"
"06/01/2021","15,721.50","15,629.65","15,915.65","15,450.90","8.08B","0.89%"
"05/01/2021","15,582.80","14,481.05","15,606.35","14,416.25","10.27B","6.50%"
"04/01/2021","14,631.10","14,798.40","15,044.35","14,151.40","9.64B","-0.41%"
"03/01/2021","14,690.70","14,702.50","15,336.30","14,264.40","11.36B","1.11%"
"02/01/2021","14,529.15","13,758.60","15,431.75","13,661.75","14.31B","6.56%"
"01/01/2021","13,634.60","13,996.10","14,753.55","13,596.75","13.02B","-2.48%"
"12/01/2020","13,981.75","13,062.20","14,024.85","12,962.80","12.08B","7.81%"
"11/01/2020","12,968.95","11,697.35","13,145.85","11,557.40","13.11B","11.39%"
"10/01/2020","11,642.40","11,364.45","12,025.45","11,347.05","11.60B","3.51%"
"09/01/2020","11,247.55","11,464.30","11,618.10","10,790.20","13.45B","-1.23%"
"08/01/2020","11,387.50","11,057.55","11,794.25","10,882.25","14.04B","2.84%"
"07/01/2020","11,073.45","10,323.80","11,341.40","10,299.60","14.64B","7.49%"
"06/01/2020","10,302.10","9,726.85","10,553.15","9,544.35","16.78B","7.53%"
"05/01/2020","9,580.30","9,533.50","9,598.85","8,806.75","13.68B","-2.84%"
"04/01/2020","9,859.90","8,584.10","9,889.05","8,055.80","12.74B","14.68%"
"03/01/2020","8,597.75","11,387.35","11,433.00","7,511.10","21.30B","-23.25%"
"02/01/2020","11,201.75","11,939.00","12,246.70","11,175.05","11.19B","-6.36%"
"01/01/2020","11,962.10","12,202.15","12,430.50","11,929.60","11.93B","-1.70%"
"12/01/2019","12,168.45","12,137.05","12,293.90","11,832.30","12.55B","0.93%"
"11/01/2019","12,056.05","11,886.60","12,158.80","11,802.65","13.18B","1.50%"
"10/01/2019","11,877.45","11,515.40","11,945.00","11,090.15","15.62B","3.51%"
"09/01/2019","11,474.45","10,960.95","11,694.85","10,670.25","12.21B","4.09%"
"08/01/2019","11,023.25","11,060.20","11,181.45","10,637.15","11.15B","-0.85%"
